All students -->,jc12690,jfz241,jg7683,jl14678,jnr8342,jw4186,jw6680,jwh8918,jyl9583,jz3928,jzh9076,kc4433,kk5268,kp3291,kue202,lpv2011,lsp8273
reference_monitor_kp3291.r2py,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
reference_monitor_mlh9655.r2py,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
reference_monitor_am14079.r2py,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
reference_monitor_st5073.r2py,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
reference_monitor_fkk2008.r2py,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
reference_monitor_vm2496.r2py,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0
reference_monitor_fgd238.r2py,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
reference_monitor_bb3722.r2py,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
reference_monitor_dsc7792.r2py,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
reference_monitor_rsh9689.r2py,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
reference_monitor_sl7228.r2py,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
reference_monitor_mmy5950.r2py,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
reference_monitor_sc9608.r2py,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
reference_monitor_ssk9850.r2py,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
reference_monitor_sr7013.r2py,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
reference_monitor_hq2040.r2py,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
reference_monitor_an4098.r2py,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
reference_monitor_tnl2012.r2py,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0
reference_monitor_ap7949.r2py,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
reference_monitor_raz6675.r2py,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
reference_monitor_ym3144.r2py,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0
reference_monitor_de814.r2py,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0
reference_monitor_nr2320.r2py,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0
reference_monitor_crt7919.r2py,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
reference_monitor_hw2509.r2py,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
reference_monitor_kk5268.r2py,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0
reference_monitor_gh2222.r2py,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0
